gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,fanCat,kissesCat,profilevisitsCat,picturesCat
Female,None,22,over21,14,12985,718,32,true,true,true,1,3,4,2
Female,Male,20,under21,5,8295,831,0,true,false,true,0,3,4,2
Female,Male,19,under21,12,16415,918,9,false,true,false,1,3,4,2
Female,Male,21,under21,8,29112,837,0,false,true,false,0,3,4,2
Female,Male,19,under21,25,9119,163,1,false,false,false,1,3,4,2
Female,Male,23,over21,4,8257,413,2,true,true,false,1,3,4,1
Female,Male,20,under21,8,3882,149,0,true,false,false,0,3,3,2
Female,Male,24,over21,2,8886,211,0,true,false,true,0,3,4,1
Female,Male,23,over21,9,8964,143,0,true,true,true,0,3,4,2
Female,Male,21,under21,7,6146,123,1,false,true,true,1,3,4,2
Female,Male,21,under21,26,24371,1928,0,false,true,false,0,3,4,2
Female,Male,23,over21,16,14856,4436,11,true,false,false,1,3,4,2
Female,Male,25,over21,6,8081,303,2,true,true,true,1,3,4,2
Female,Male,22,over21,5,7909,491,1,true,false,false,1,3,4,2
Female,Male,22,over21,9,21242,1004,20,true,true,true,1,3,4,2
Female,None,24,over21,3,21368,844,2,true,true,false,1,3,4,1
Female,Male,26,over21,2,399,55,0,false,true,false,0,2,1,1
Female,Male,20,under21,10,14779,447,0,false,true,false,0,3,4,2
Female,Male,22,over21,4,11305,321,0,true,true,true,0,3,4,1
Female,Male,23,over21,4,58944,3599,0,true,true,true,0,3,4,1
Female,Male,19,under21,4,9591,139,10,true,true,true,1,3,4,1
Female,Male,21,under21,2,2971,98,0,true,false,false,0,2,3,1
Female,Male,20,under21,10,22846,656,6,true,true,true,1,3,4,2
Female,Male,25,over21,8,9959,170,2,true,true,false,1,3,4,2
Female,Male,19,under21,19,9992,697,29,true,true,false,1,3,4,2
Female,None,21,under21,1,6496,263,13,true,false,false,1,3,4,1
Female,Male,20,under21,3,34818,1680,4,true,false,false,1,3,4,1
Female,Male,20,under21,6,9664,268,0,true,true,false,0,3,4,2
Female,None,20,under21,11,2608,115,2,true,true,false,1,3,3,2
Female,Male,24,over21,9,8369,223,2,true,true,false,1,3,4,2
Female,Male,24,over21,6,190,6,0,true,false,false,0,1,1,2
Female,Male,26,over21,22,31079,1754,8,true,true,false,1,3,4,2
Female,Male,21,under21,16,16088,1058,0,true,false,false,0,3,4,2
Female,Male,22,over21,15,40214,3099,0,true,true,false,0,3,4,2
Female,Male,20,under21,5,4954,190,0,false,true,false,0,3,4,2
Female,Male,24,over21,2,9991,334,1,false,true,false,1,3,4,1
Female,Male,23,over21,3,16063,914,0,true,true,false,0,3,4,1
Female,Male,25,over21,5,26553,1428,2,true,false,false,1,3,4,2
Female,Male,20,under21,13,16341,754,0,false,false,false,0,3,4,2
Female,Male,25,over21,4,6092,115,7,false,true,true,1,3,4,1
Female,None,21,under21,1,2616,52,0,false,true,true,0,2,3,1
Female,Male,21,under21,3,646,20,0,true,false,false,0,2,2,1
Female,Male,25,over21,4,1371,53,0,true,true,false,0,2,3,1
Female,Male,22,over21,4,15787,643,0,true,true,false,0,3,4,1
Female,Male,20,under21,4,130,5,1,true,true,false,1,1,1,1
Female,Male,23,over21,14,15561,582,0,false,true,false,0,3,4,2
Female,None,22,over21,2,16408,1564,55,false,false,false,1,3,4,1
Female,Male,19,under21,6,3529,57,0,true,true,false,0,2,3,2
Female,Male,19,under21,3,19909,1045,2,true,false,false,1,3,4,1
Female,Male,25,over21,20,10553,957,1,true,true,false,1,3,4,2
Female,Male,24,over21,9,16851,1068,0,true,true,true,0,3,4,2
Female,Male,23,over21,4,13921,666,0,false,true,false,0,3,4,1
Female,Male,20,under21,8,15419,1046,0,true,true,false,0,3,4,2
Female,Male,23,over21,8,38702,945,0,true,true,false,0,3,4,2
Female,None,21,under21,23,12443,1301,1,true,true,true,1,3,4,2
Female,Male,21,under21,5,1476,40,0,true,false,false,0,2,3,2
Female,Male,19,under21,16,29916,1725,35,true,true,false,1,3,4,2
Female,Male,23,over21,8,18810,851,2,true,true,true,1,3,4,2
Female,Male,19,under21,8,12169,314,0,true,true,false,0,3,4,2
Female,Male,23,over21,2,979,121,0,false,false,false,0,3,2,1
Female,Male,23,over21,7,9673,608,0,false,true,true,0,3,4,2
Female,Male,24,over21,11,17097,1188,1,true,true,true,1,3,4,2
Female,Male,20,under21,5,3501,106,0,true,true,false,0,3,3,2
Female,Male,23,over21,9,2642,104,2,true,true,false,1,3,3,2
Female,Male,19,under21,5,5348,152,0,false,true,false,0,3,4,2
Female,Male,21,under21,4,9386,245,1,true,true,false,1,3,4,1
Female,Male,21,under21,16,5954,61,1,false,false,false,1,2,4,2
Female,Male,23,over21,0,4362,217,1,true,true,true,1,3,4,1
Female,Male,21,under21,9,19018,757,0,true,true,false,0,3,4,2
Female,Male,19,under21,9,10165,169,39,false,false,false,1,3,4,2
Female,None,22,over21,5,14885,290,0,true,true,true,0,3,4,2
Female,Male,23,over21,2,991,24,0,true,true,false,0,2,2,1
Female,Male,19,under21,4,19957,530,0,true,true,true,0,3,4,1
Female,Male,19,under21,3,5021,199,2,true,true,true,1,3,4,1
Female,Male,20,under21,5,36179,1484,2,true,true,true,1,3,4,2
Female,None,22,over21,4,1025,14,6,true,false,false,1,2,2,1
Female,Male,20,under21,3,1024,28,8,true,false,false,1,2,2,1
Female,Male,20,under21,3,19073,1120,0,true,true,false,0,3,4,1
Female,Male,20,under21,30,17525,703,34,true,true,false,1,3,4,2
Female,Male,21,under21,3,9889,719,0,false,true,false,0,3,4,1
Female,Male,25,over21,19,10117,330,0,true,true,true,0,3,4,2
Female,Male,22,over21,8,6840,335,0,false,true,false,0,3,4,2
Female,Male,22,over21,7,6705,260,7,true,true,false,1,3,4,2
Female,Male,23,over21,11,4009,80,0,true,true,true,0,2,4,2
Female,Male,23,over21,19,42567,2108,1,true,false,false,1,3,4,2
Female,Male,21,under21,13,7788,419,2,true,true,true,1,3,4,2
Female,Male,25,over21,12,4822,91,0,true,false,false,0,2,4,2
Female,Male,19,under21,17,33453,1401,0,true,true,true,0,3,4,2
Female,Male,21,under21,6,4847,197,0,true,true,false,0,3,4,2
Female,Male,21,under21,21,11286,455,36,true,true,true,1,3,4,2
Female,Male,21,under21,7,706,23,0,true,true,false,0,2,2,2
Female,Male,23,over21,3,15045,589,5,false,true,false,1,3,4,1
Female,Male,22,over21,4,14460,426,0,true,true,true,0,3,4,1
Female,Male,20,under21,8,4526,141,0,true,true,false,0,3,4,2
Female,Male,21,under21,15,6676,340,0,true,true,false,0,3,4,2
Female,Male,19,under21,8,25862,1911,33,true,true,true,1,3,4,2
Female,None,19,under21,3,10162,372,2,true,false,false,1,3,4,1
Female,Male,22,over21,5,2202,86,6,true,false,false,1,2,3,2
Female,Male,24,over21,7,6728,391,0,true,true,false,0,3,4,2
Female,Male,20,under21,13,5163,81,1,true,true,true,1,2,4,2
Female,Male,23,over21,2,8732,306,2,true,true,false,1,3,4,1
Female,Male,21,under21,6,4232,59,33,false,true,false,1,2,4,2
Female,Male,20,under21,4,4175,72,0,false,false,true,0,2,4,1
Female,Male,19,under21,9,12543,991,2,true,true,false,1,3,4,2
Female,Male,20,under21,4,12113,476,0,true,true,false,0,3,4,1
Female,Male,24,over21,2,584,22,0,true,true,false,0,2,2,1
Female,Male,23,over21,7,8178,208,0,true,true,false,0,3,4,2
Female,Male,25,over21,1,3381,100,0,true,true,false,0,2,3,1
Female,None,19,under21,6,8046,881,0,true,false,false,0,3,4,2
Female,Male,25,over21,1,3941,131,0,false,true,true,0,3,3,1
Female,Male,21,under21,0,13355,458,0,false,false,true,0,3,4,1
Female,Male,21,under21,4,14019,664,1,false,true,false,1,3,4,1
Female,Male,20,under21,23,12981,412,0,true,true,true,0,3,4,2
Female,Male,24,over21,1,7915,116,53,true,true,true,1,3,4,1
Female,Male,24,over21,5,1859,65,2,true,false,false,1,2,3,2
Female,Male,23,over21,26,17117,415,7,true,true,true,1,3,4,2
Female,Male,20,under21,2,917,16,4,true,true,false,1,2,2,1
Female,Male,21,under21,7,1134,41,2,false,true,false,1,2,2,2
Female,None,22,over21,6,9855,397,7,true,true,false,1,3,4,2
Female,Male,19,under21,6,5729,318,12,false,false,true,1,3,4,2
Female,Male,19,under21,3,6836,178,0,true,true,false,0,3,4,1
Female,Male,21,under21,1,513,25,0,false,true,false,0,2,2,1
Female,Male,20,under21,2,1336,53,9,true,true,true,1,2,3,1
Female,Male,21,under21,1,10339,236,0,true,false,false,0,3,4,1
Female,Male,19,under21,6,7183,144,201,true,true,true,1,3,4,2
Female,Male,22,over21,9,11288,497,0,false,true,false,0,3,4,2
Female,Male,20,under21,5,30989,672,18,false,false,false,1,3,4,2
Female,Male,22,over21,30,17883,1180,1,true,true,false,1,3,4,2
Female,Male,21,under21,12,1267,79,0,false,false,false,0,2,3,2
Female,Male,19,under21,3,35692,741,0,true,true,true,0,3,4,1
Female,Male,25,over21,5,19684,929,0,true,false,true,0,3,4,2
Female,Male,19,under21,4,9263,632,2,false,true,false,1,3,4,1
Female,Male,20,under21,6,16104,393,4,true,true,false,1,3,4,2
Female,Male,22,over21,10,6187,270,2,false,true,false,1,3,4,2
Female,Male,21,under21,26,13355,307,0,false,true,false,0,3,4,2
